epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.21,1.15159,1.25417,1.20587,0.61222,0.43135,0.47245,0.32774,1.19426,1.33231,1.20148,0.00332973,0.00332973,0.00332973
2,638.225,1.2225,1.43693,1.25032,0.48931,0.33134,0.34164,0.2231,1.35777,1.73982,1.31494,0.0065971,0.0065971,0.0065971
3,957.424,1.33576,1.72016,1.33076,0.33733,0.21058,0.17361,0.10529,1.58648,2.38623,1.52583,0.00979847,0.00979847,0.00979847
4,1272.41,1.37773,1.84314,1.3678,0.44537,0.30311,0.30133,0.19516,1.39726,1.83763,1.37633,0.009703,0.009703,0.009703
5,1602.95,1.3437,1.75696,1.34629,0.49008,0.31351,0.32662,0.21771,1.33967,1.7518,1.338,0.009604,0.009604,0.009604
6,1917.01,1.3266,1.71164,1.33322,0.52558,0.37551,0.38436,0.2561,1.28666,1.55251,1.2828,0.009505,0.009505,0.009505
7,2230.01,1.3144,1.67964,1.32448,0.55201,0.38453,0.41521,0.28072,1.26096,1.47725,1.26567,0.009406,0.009406,0.009406
8,2545.24,1.30359,1.65541,1.31783,0.57692,0.40025,0.4312,0.29285,1.23878,1.43,1.2534,0.009307,0.009307,0.009307
9,2860.23,1.29817,1.63938,1.31335,0.58314,0.41312,0.44551,0.30518,1.22288,1.39233,1.24085,0.009208,0.009208,0.009208
10,3174.29,1.29258,1.63146,1.31058,0.5918,0.42057,0.46069,0.31556,1.20892,1.3484,1.23307,0.009109,0.009109,0.009109
11,3487.92,1.29024,1.62135,1.30827,0.59167,0.43423,0.46977,0.32347,1.19859,1.32303,1.22148,0.00901,0.00901,0.00901
12,3800.06,1.28643,1.61133,1.30517,0.59346,0.4413,0.47581,0.32886,1.18929,1.30463,1.21665,0.008911,0.008911,0.008911
13,4132.41,1.28383,1.60675,1.30465,0.60367,0.4433,0.48021,0.33279,1.18369,1.29399,1.21267,0.008812,0.008812,0.008812
14,4448.06,1.28035,1.60126,1.30066,0.59754,0.44711,0.48495,0.33722,1.17874,1.28466,1.20904,0.008713,0.008713,0.008713
15,4762.34,1.27876,1.59429,1.2996,0.61763,0.44512,0.4887,0.34065,1.174,1.27619,1.20641,0.008614,0.008614,0.008614
16,5076.47,1.27793,1.59081,1.29834,0.6214,0.44374,0.49128,0.34299,1.17137,1.26876,1.20376,0.008515,0.008515,0.008515
17,5389.07,1.27464,1.58509,1.29577,0.61017,0.45187,0.49195,0.34357,1.16869,1.26481,1.20277,0.008416,0.008416,0.008416
